"Name"	"Genes (tot)"	"Stat (dist.dir.up)"	"p (dist.dir.up)"	"p adj (dist.dir.up)"	"Stat (dist.dir.dn)"	"p (dist.dir.dn)"	"p adj (dist.dir.dn)"	"Stat (non-dir.)"	"p (non-dir.)"	"p adj (non-dir.)"	"Genes (up)"	"Stat (mix.dir.up)"	"p (mix.dir.up)"	"p adj (mix.dir.up)"	"Genes (down)"	"Stat (mix.dir.dn)"	"p (mix.dir.dn)"	"p adj (mix.dir.dn)"
"19"	"Ubiquinone and other terpenoid-quinone biosynthesis"	10	-1.205	0.76827	1	1.205	0.23412	0.4638	2.3369	0.05199	0.090096	4	1.1756	0.2709	0.58121	6	2.0571	0.051574	0.097803
"20"	"Tyrosine metabolism"	37	-1.5634	0.80452	1	1.5634	0.19544	0.42961	-1.2342	0.65706	0.71409	12	0.56437	0.56841	0.8072	25	-1.8925	0.67108	0.72468
"21"	"Type II diabetes mellitus"	45	-3.5045	0.99115	1	3.5045	0.0091168	0.057071	1.0754	0.15498	0.21949	8	2.6624	0.050309	0.2565	37	-0.051993	0.20402	0.26886
"22"	"Type I diabetes mellitus"	53	-3.0692	0.9755	1	3.0692	0.02461	0.11328	-0.40181	0.44436	0.51897	16	-0.4625	0.84809	0.9589	37	-0.17676	0.22535	0.29231
"23"	"Tuberculosis"	159	-4.5344	0.99634	1	4.5344	0.0038955	0.033206	2.6587	0.0095987	0.026421	56	1.0112	0.71339	0.88274	103	2.5577	0.0012496	0.0057149
"24"	"Tryptophan metabolism"	44	-1.6537	0.81227	1	1.6537	0.18878	0.42961	1.9337	0.070603	0.1145	19	1.0608	0.48799	0.77431	25	1.6405	0.057521	0.10648
"25"	"Transcriptional misregulation in cancer"	165	-1.9496	0.77217	1	1.9496	0.23372	0.4638	0.3446	0.18522	0.25206	64	1.6821	0.5559	0.8072	101	-0.89853	0.17319	0.23727
"26"	"Toxoplasmosis"	106	-3.7652	0.98992	1	3.7652	0.010228	0.061564	2.2344	0.028485	0.059046	38	0.82677	0.68298	0.87905	68	2.1717	0.0056509	0.017752
"27"	"Toll-like receptor signaling pathway"	86	-4.1229	0.99578	1	4.1229	0.0045396	0.037392	3.3663	0.0051906	0.016411	29	1.0932	0.55072	0.8072	57	3.3551	0.00089156	0.0044012
"28"	"Tight junction"	160	-2.163	0.80425	1	2.163	0.19724	0.42961	1.961	0.031589	0.064204	70	2.2555	0.40994	0.71624	90	0.62556	0.033199	0.069402
"29"	"Thyroid hormone synthesis"	72	-0.034606	0.31184	1	0.034606	0.69003	0.87652	0.64814	0.20238	0.26955	29	2.2677	0.22473	0.56388	43	-1.0236	0.38218	0.45715
"30"	"Thyroid hormone signaling pathway"	114	-0.47204	0.40115	1	0.47204	0.6002	0.80368	5.1864	0.00010964	0.00090313	55	3.5727	0.077264	0.33844	59	3.7598	0.00037802	0.0025014
"31"	"Thyroid cancer"	28	-1.1224	0.71035	1	1.1224	0.29153	0.53051	2.9214	0.020227	0.047603	11	2.3505	0.11658	0.41202	17	1.8584	0.045737	0.089461
"32"	"Thiamine metabolism"	13	-1.1468	0.74256	1	1.1468	0.25744	0.48835	0.5297	0.29357	0.36609	6	-0.51555	0.79999	0.93183	7	1.1992	0.15213	0.21827
"33"	"Th17 cell differentiation"	97	-2.1881	0.86716	1	2.1881	0.13482	0.37344	1.8669	0.044029	0.080727	33	2.2185	0.25483	0.57453	64	0.70538	0.051945	0.097909
"34"	"Th1 and Th2 cell differentiation"	84	-1.9504	0.8289	1	1.9504	0.17496	0.41174	0.7805	0.16324	0.22912	29	1.5116	0.42567	0.73215	55	-0.1331	0.1579	0.2222
"35"	"Terpenoid backbone biosynthesis"	21	3.2048	0.002406	0.068203	-3.2048	0.99763	1	4.4109	0.0016468	0.0066926	13	4.7271	0.00088789	0.026128	8	1.1205	0.12238	0.18299
"36"	"Taurine and hypotaurine metabolism"	10	3.3601	0.0026279	0.068203	-3.3601	0.99725	1	2.1258	0.067169	0.11065	7	3.3213	0.016587	0.14731	3	-1.1922	0.66698	0.72275
"37"	"Taste transduction"	54	0.082736	0.29017	1	-0.082736	0.70985	0.8923	-5.4163	0.99842	1	22	-0.29796	0.86272	0.9589	32	-6.7889	0.99897	1
"38"	"TNF signaling pathway"	105	-2.2833	0.89247	1	2.2833	0.11095	0.32456	3.176	0.005583	0.017302	38	2.893	0.1215	0.42012	67	1.7971	0.014653	0.038619
"39"	"TGF-beta signaling pathway"	80	1.4864	0.03787	0.47413	-1.4864	0.96113	1	1.0332	0.14711	0.21122	42	2.5304	0.2057	0.54215	38	-1.161	0.40819	0.48086
"40"	"T cell receptor signaling pathway"	100	-2.062	0.84571	1	2.062	0.15986	0.39399	2.2107	0.028364	0.059046	40	1.7092	0.44711	0.75163	60	1.4584	0.0184	0.045763
"41"	"Systemic lupus erythematosus"	120	-5.9451	0.99997	1	5.9451	3.5523e-05	0.00079418	-6.2625	0.99923	1	25	-0.27989	0.87219	0.96188	89	-1.9022	0.37771	0.45355
"42"	"Synthesis and degradation of ketone bodies"	9	0.89614	0.17357	1	-0.89614	0.8272	0.95893	6.1116	5.5152e-05	0.00059526	5	4.3966	0.0010082	0.026128	4	4.2519	0.0034227	0.012036
"43"	"Synaptic vesicle cycle"	59	-0.36353	0.42684	1	0.36353	0.57402	0.80209	-0.29273	0.39394	0.46883	24	1.1727	0.48062	0.77431	35	-1.3511	0.50057	0.57234
"44"	"Sulfur relay system"	7	-1.4862	0.85376	1	1.4862	0.15188	0.39218	0.8919	0.23323	0.30166	2	0.12216	0.54838	0.8072	5	0.97805	0.17783	0.24256
"45"	"Sulfur metabolism"	10	0.053405	0.40583	1	-0.053405	0.59481	0.80368	2.3171	0.053286	0.091268	5	2.1391	0.09512	0.37231	5	1.1378	0.15356	0.21906
"46"	"Steroid hormone biosynthesis"	85	-3.8586	0.99374	1	3.8586	0.0066442	0.04442	0.54017	0.19016	0.25655	26	1.0147	0.54878	0.8072	58	1.0525	0.041471	0.082676
"47"	"Steroid biosynthesis"	18	-0.88408	0.65863	1	0.88408	0.34316	0.57903	2.9898	0.02571	0.057073	9	1.584	0.23528	0.56419	9	2.6442	0.022578	0.052674
"48"	"Starch and sucrose metabolism"	32	-3.933	0.9965	1	3.933	0.0039253	0.033206	3.9389	0.0033596	0.011949	13	-0.32176	0.81232	0.94154	19	5.378	6.2067e-05	0.00068938
"49"	"Staphylococcus aureus infection"	47	-6.4981	1	1	6.4981	7.6554e-07	2.9952e-05	2.5452	0.039098	0.075541	5	-1.1072	0.89377	0.97843	42	3.0745	0.002577	0.0098944
"50"	"Spliceosome"	127	0.86699	0.092136	0.90121	-0.86699	0.90758	1	3.7186	0.003024	0.010879	68	2.8942	0.22845	0.56388	58	3.4468	0.00095604	0.0046457
"51"	"Sphingolipid signaling pathway"	117	-2.362	0.89539	1	2.362	0.10644	0.3143	3.8152	0.0017443	0.0069111	51	1.6742	0.50428	0.7881	66	3.608	0.00057071	0.0033367
"52"	"Sphingolipid metabolism"	44	-0.27511	0.42043	1	0.27511	0.58073	0.80368	0.72086	0.22969	0.29955	21	0.66791	0.62004	0.8404	23	0.35883	0.16358	0.22814
"53"	"Small cell lung cancer"	81	-1.4296	0.70644	1	1.4296	0.29574	0.53507	4.7041	0.00053937	0.0033103	38	2.3753	0.22491	0.56388	43	4.2234	0.000451	0.0027502
"54"	"Signaling pathways regulating pluripotency of stem cells"	133	-0.88893	0.49831	1	0.88893	0.50576	0.75383	1.9131	0.034893	0.0694	58	3.3264	0.11255	0.40559	75	-0.3776	0.13608	0.19962
"55"	"Serotonergic synapse"	122	-2.5254	0.901	1	2.5254	0.10156	0.30567	0.82023	0.14543	0.20977	52	0.12801	0.90314	0.97843	70	0.97251	0.035117	0.072327
"56"	"Selenocompound metabolism"	16	-3.29	0.98846	1	3.29	0.012642	0.069418	3.7934	0.0060966	0.018708	2	3.6438	0.0041284	0.067575	14	2.6781	0.01936	0.047039
"57"	"Salmonella infection"	76	-3.1113	0.97018	1	3.1113	0.031194	0.13448	-0.75338	0.47985	0.54616	23	-0.56042	0.90607	0.97843	53	-0.53297	0.19812	0.26444
"58"	"Salivary secretion"	74	-2.971	0.95159	1	2.971	0.050385	0.18127	0.54092	0.21322	0.28159	27	0.41007	0.74203	0.89139	47	0.36793	0.11162	0.1727
"59"	"SNARE interactions in vesicular transport"	31	1.3566	0.077262	0.78841	-1.3566	0.92214	1	4.0703	0.0027647	0.010302	18	2.9833	0.069045	0.31578	13	2.775	0.016441	0.041912
"60"	"Ribosome biogenesis in eukaryotes"	77	2.5463	0.0028327	0.068203	-2.5463	0.99706	1	1.5936	0.072902	0.11762	45	2.862	0.14565	0.43942	32	-0.92188	0.37487	0.45187
"61"	"Ribosome"	128	-4.3823	0.99674	1	4.3823	0.0032685	0.030139	1.6053	0.0521	0.090096	48	-1.6378	0.99584	1	80	3.2993	0.00076147	0.0038822
"62"	"Riboflavin metabolism"	7	-1.014	0.75163	1	1.014	0.25379	0.48438	3.6036	0.009862	0.026842	3	1.9799	0.096968	0.37231	4	3.0525	0.022224	0.052362
"63"	"Rheumatoid arthritis"	77	-2.9277	0.96497	1	2.9277	0.036669	0.14528	1.0883	0.12466	0.18319	26	1.0216	0.54668	0.8072	51	0.60789	0.074475	0.1278
"64"	"Retrograde endocannabinoid signaling"	133	-1.933	0.79433	1	1.933	0.21063	0.44849	-2.0407	0.71309	0.7566	57	-1.3568	0.9928	1	76	-1.5245	0.34685	0.42302
"65"	"Retinol metabolism"	86	-3.8356	0.99205	1	3.8356	0.0084791	0.054162	3.3894	0.004982	0.015912	24	4.0676	0.0098708	0.12642	61	2.5243	0.0042946	0.014059
"66"	"Renin-angiotensin system"	27	-0.85135	0.62815	1	0.85135	0.37311	0.60825	-4.1595	0.98563	1	8	-1.1461	0.93607	0.98614	19	-4.2148	0.97	0.98264
"67"	"Renin secretion"	65	0.30894	0.23117	1	-0.30894	0.76971	0.92306	0.20186	0.27526	0.3474	35	1.3248	0.52076	0.80576	29	0.37129	0.15987	0.22396
"68"	"Renal cell carcinoma"	63	-0.45444	0.46096	1	0.45444	0.54178	0.78113	2.5838	0.020686	0.04832	28	2.6564	0.13804	0.43942	35	1.0906	0.07479	0.1278
"69"	"Regulation of lipolysis in adipocytes"	52	-0.73891	0.54367	1	0.73891	0.45863	0.71065	1.4354	0.10479	0.15619	22	1.3104	0.44222	0.74864	30	0.7677	0.092923	0.1482
"70"	"Regulation of actin cytoskeleton"	207	-3.3203	0.9514	1	3.3203	0.051512	0.18322	4.2373	0.00032051	0.0021808	82	3.0197	0.24468	0.56784	125	3.0069	0.00018487	0.0014374
"71"	"Ras signaling pathway"	218	-3.5279	0.96561	1	3.5279	0.035306	0.14352	4.9499	9.8751e-05	0.00090313	87	4.0156	0.0646	0.3044	131	3.113	0.00026544	0.0018869
"72"	"Rap1 signaling pathway"	206	-5.7456	0.99986	1	5.7456	0.0001472	0.0028796	7.391	4.1475e-08	1.8545e-06	77	3.4742	0.13669	0.43942	129	6.6558	7.4776e-09	3.8759e-07
"73"	"RNA transport"	161	3.2487	0.00041713	0.013056	-3.2487	0.99959	1	1.8549	0.035067	0.0694	93	3.7838	0.12158	0.42012	67	-0.57965	0.2026	0.26812
"74"	"RNA polymerase"	28	-2.1153	0.90841	1	2.1153	0.09297	0.28812	3.271	0.011861	0.030936	9	2.0312	0.14107	0.43942	19	2.5729	0.015172	0.039322
"75"	"RNA degradation"	75	-1.2088	0.66143	1	1.2088	0.34182	0.57903	1.3207	0.091302	0.14078	34	0.722	0.71528	0.88274	41	1.1288	0.05304	0.09937
"76"	"RIG-I-like receptor signaling pathway"	54	-1.4593	0.75716	1	1.4593	0.24638	0.47899	1.0492	0.14319	0.20845	24	0.47738	0.69133	0.87905	30	0.98061	0.073016	0.12746
"77"	"Pyruvate metabolism"	36	-1.8042	0.85848	1	1.8042	0.1457	0.38647	4.4152	0.0015588	0.0065931	13	3.1313	0.031632	0.21861	23	3.1697	0.0035169	0.012036
"78"	"Pyrimidine metabolism"	100	-4.2498	0.99717	1	4.2498	0.0032427	0.030139	5.1016	0.00012967	0.00098991	32	2.656	0.12485	0.42204	68	4.3646	5.9844e-05	0.00068932
"79"	"Purine metabolism"	173	-3.9896	0.98789	1	3.9896	0.012425	0.069418	6.142	4.8551e-06	0.00010855	67	3.1773	0.17874	0.50997	106	5.3205	1.4365e-06	3.7229e-05
"80"	"Proximal tubule bicarbonate reclamation"	21	-2.2259	0.92381	1	2.2259	0.075968	0.24263	1.8988	0.0764	0.12201	6	1.1927	0.2836	0.58631	15	1.4923	0.059333	0.10861
"81"	"Proteoglycans in cancer"	197	-1.1115	0.51111	1	1.1115	0.49252	0.74834	5.9784	9.8246e-06	0.00019219	88	5.0066	0.012517	0.13903	109	3.5386	0.0001373	0.001111
"82"	"Protein processing in endoplasmic reticulum"	157	4.807	1.5505e-06	0.00016177	-4.807	1	1	4.1245	0.00087768	0.0046562	96	5.3147	0.0071438	0.1058	61	-0.050286	0.13304	0.19609
"83"	"Protein export"	25	2.4045	0.012515	0.21762	-2.4045	0.98708	1	0.77343	0.23309	0.30166	17	1.4222	0.3555	0.66713	8	-0.70598	0.48298	0.55427
"84"	"Protein digestion and absorption"	85	-1.667	0.78193	1	1.667	0.22155	0.45325	-3.5264	0.95294	0.97793	32	-0.73067	0.95016	0.99161	53	-3.898	0.88068	0.90393
"85"	"Proteasome"	45	-3.3092	0.98673	1	3.3092	0.013638	0.073601	6.1682	2.2462e-05	0.00029113	17	3.6414	0.016995	0.14731	28	4.9822	9.6457e-05	0.0009653
"86"	"Prostate cancer"	85	-1.2305	0.66874	1	1.2305	0.33486	0.57705	4.9826	0.00012391	0.00098991	38	2.9925	0.10627	0.40304	47	4.0099	0.00043365	0.0026973
"87"	"Propanoate metabolism"	30	2.3053	0.017334	0.24661	-2.3053	0.98261	1	4.6686	0.00087397	0.0046562	17	4.9618	0.0007854	0.026128	13	1.4181	0.087857	0.14306
"88"	"Prolactin signaling pathway"	67	-2.0571	0.87696	1	2.0571	0.12663	0.35389	2.5158	0.024429	0.055408	21	4.0263	0.014025	0.1409	46	0.31577	0.11487	0.17598
"89"	"Progesterone-mediated oocyte maturation"	81	-1.7056	0.77461	1	1.7056	0.22754	0.46032	2.1168	0.041137	0.077566	33	1.756	0.38333	0.69718	48	1.2938	0.037495	0.07572
"90"	"Prion diseases"	33	-4.6502	0.99943	1	4.6502	0.00059804	0.0097767	2.7236	0.02836	0.059046	8	-0.11732	0.74786	0.89403	25	3.1956	0.006859	0.020316
"91"	"Primary immunodeficiency"	34	-1.9968	0.88175	1	1.9968	0.11987	0.34274	1.6738	0.095716	0.14543	13	0.50916	0.58949	0.81642	21	1.7292	0.044677	0.087941
"92"	"Primary bile acid biosynthesis"	15	2.4396	0.017095	0.24661	-2.4396	0.9832	1	2.826	0.026186	0.057086	9	3.2339	0.021311	0.17441	6	0.50751	0.23976	0.30812
"93"	"Porphyrin and chlorophyll metabolism"	40	-1.7708	0.85982	1	1.7708	0.14006	0.38065	0.77468	0.18413	0.25191	9	3.509	0.012379	0.13903	30	0.47139	0.12693	0.18797
"94"	"Platinum drug resistance"	75	-6.656	1	1	8.1645	5.7842e-09	3.6209e-07	7.5617	1.1518e-07	4.5065e-06	28	0.82018	0.63991	0.86152	47	8.9191	3.2522e-10	3.3714e-08
"95"	"Platelet activation"	119	-2.5374	0.91795	1	2.5374	0.084966	0.26594	3.7851	0.0021526	0.0081175	54	1.1444	0.67032	0.87655	65	4.0784	0.00013111	0.001102
"96"	"Phototransduction"	25	-1.315	0.76531	1	1.315	0.23759	0.46771	-1.4915	0.72599	0.7651	8	0.17331	0.66506	0.87655	17	-1.9275	0.69644	0.74155
"97"	"Phosphonate and phosphinate metabolism"	5	1.6581	0.078085	0.78841	-1.6581	0.92191	1	1.6592	0.12643	0.18492	3	2.2188	0.067583	0.31371	2	-0.093923	0.41355	0.48534
"98"	"Phospholipase D signaling pathway"	141	-2.394	0.87761	1	2.394	0.1239	0.34939	1.7212	0.047499	0.085443	59	1.4366	0.59934	0.82113	82	1.0384	0.025806	0.059012
"99"	"Phosphatidylinositol signaling system"	94	-3.9166	0.99294	1	3.9166	0.0073933	0.04821	4.4494	0.00083101	0.0045633	34	1.9634	0.34139	0.65538	60	4.0911	0.00010809	0.0009653
"100"	"Phenylalanine, tyrosine and tryptophan biosynthesis"	6	1.0819	0.16941	1	-1.0819	0.82637	0.95893	-0.60319	0.61656	0.67363	3	0.6589	0.41271	0.71706	3	-1.5119	0.73165	0.77395
"101"	"Phenylalanine metabolism"	21	0.77236	0.17996	1	-0.77236	0.82055	0.95833	-0.46003	0.49497	0.5593	8	2.2936	0.090876	0.36234	13	-2.3839	0.79673	0.82241
"102"	"Phagosome"	161	-4.8795	0.99879	1	4.8795	0.0012514	0.01632	4.7587	0.0001969	0.0014007	59	1.9279	0.44293	0.74864	102	4.5123	1.3855e-05	0.00019719
"103"	"Pertussis"	71	-3.267	0.98143	1	3.267	0.018669	0.0899	2.4028	0.027506	0.058568	24	1.1691	0.48175	0.77431	47	2.1178	0.012777	0.03506
"104"	"Peroxisome"	82	4.2499	5.2648e-05	0.0023541	-4.2499	0.99995	1	8.5006	3.3278e-08	1.736e-06	54	6.6795	5.0753e-05	0.0039461	28	5.2711	4.8511e-05	0.00058027
"105"	"Pentose phosphate pathway"	29	-3.328	0.98534	1	3.328	0.015277	0.078956	1.7745	0.08076	0.12831	12	-0.82578	0.89403	0.97843	17	3.0114	0.0091811	0.026196
"106"	"Pentose and glucuronate interconversions"	33	-4.4914	0.99912	1	4.4914	0.00091691	0.012478	-0.38447	0.48367	0.5485	4	-0.35541	0.7028	0.87905	28	1.2684	0.061155	0.11122
"107"	"Pathways in cancer"	382	-3.4137	0.93853	1	3.4137	0.063545	0.21619	3.9807	0.00042655	0.0026702	160	3.0013	0.48519	0.77431	222	2.6738	0.00010367	0.0009653
"108"	"Parkinson disease"	123	-4.3746	0.99754	1	4.3746	0.0025589	0.027083	3.0168	0.0090507	0.025521	50	-0.34631	0.93858	0.98614	73	4.2026	8.2197e-05	0.00088149
"109"	"Pantothenate and CoA biosynthesis"	17	2.2232	0.024283	0.32642	-2.2232	0.97637	1	1.1562	0.18996	0.25655	12	1.5677	0.27285	0.58121	5	-0.29679	0.4425	0.5135
"110"	"Pancreatic secretion"	93	-1.5235	0.72158	1	1.5235	0.2825	0.52321	-4.0793	0.9763	0.99864	35	-0.23084	0.91617	0.98252	57	-3.9424	0.88476	0.90514
"111"	"Pancreatic cancer"	63	-1.6557	0.80513	1	1.6557	0.19765	0.42961	3.759	0.0028979	0.010671	25	2.5997	0.11346	0.40559	38	2.7314	0.0051114	0.016347
"112"	"PPAR signaling pathway"	79	6.0236	6.0044e-08	9.397e-06	-6.0236	1	1	8.2728	1.4563e-08	9.1164e-07	47	9.2698	6.3612e-10	9.8917e-08	32	1.7641	0.030386	0.065173
"113"	"PI3K-Akt signaling pathway"	317	-3.3863	0.94791	1	3.3863	0.053015	0.18645	9.2364	1.3403e-10	2.0975e-08	140	5.8706	0.010162	0.12642	177	7.1397	1.1498e-10	1.788e-08
"114"	"Oxytocin signaling pathway"	146	-0.14077	0.23862	1	0.14077	0.76217	0.91753	2.2343	0.02098	0.048643	69	3.3284	0.13714	0.43942	76	0.86704	0.036819	0.075333
"115"	"Oxidative phosphorylation"	113	-3.7984	0.98967	1	3.7984	0.011213	0.064992	0.69915	0.14914	0.21219	46	-2.0757	0.99798	1	67	2.6279	0.0040228	0.013318
"116"	"Ovarian steroidogenesis"	52	-0.07295	0.33713	1	0.07295	0.66363	0.85833	0.033333	0.33679	0.41177	20	2.4054	0.14445	0.43942	32	-1.8592	0.58864	0.64917
"117"	"Other types of O-glycan biosynthesis"	21	-1.3431	0.77042	1	1.3431	0.22942	0.46032	1.6493	0.1003	0.15021	8	2.1435	0.11301	0.40559	12	2.8016	0.014811	0.038708
"118"	"Other glycan degradation"	15	-2.9959	0.98424	1	2.9959	0.015588	0.078956	3.9984	0.0040463	0.013495	6	0.56658	0.47848	0.77431	9	4.6993	0.00063871	0.0034078
"119"	"Osteoclast differentiation"	120	-4.6479	0.99863	1	4.6479	0.0015083	0.018884	5.0404	0.00012865	0.00098991	41	2.2386	0.27187	0.58121	79	4.5994	3.5304e-05	0.00045748
"120"	"Oocyte meiosis"	107	0.15117	0.22498	1	-0.15117	0.77583	0.92472	3.3563	0.005367	0.016799	51	3.5	0.073792	0.32785	56	1.2993	0.03025	0.065173
"121"	"One carbon pool by folate"	18	-1.4122	0.78985	1	1.4122	0.21211	0.44859	2.104	0.074517	0.11961	6	1.6346	0.17416	0.5015	12	1.421	0.087841	0.14306
"122"	"Olfactory transduction"	656	3.2482	1.5719e-05	0.00098401	-3.2482	0.99998	1	-22.151	1	1	294	-2.7924	1	1	362	-27.302	1	1
"123"	"Nucleotide excision repair"	42	-2.9011	0.96693	1	2.9011	0.034917	0.14352	5.0622	0.00056602	0.003407	17	2.0739	0.18826	0.51774	25	4.8512	0.00032406	0.0022073
"124"	"Notch signaling pathway"	48	-1.9723	0.86407	1	1.9723	0.14107	0.38065	0.88695	0.17355	0.24143	20	-0.11125	0.8211	0.94578	28	1.2553	0.06209	0.11162
"125"	"Non-small cell lung cancer"	57	-1.9057	0.84566	1	1.9057	0.15418	0.39218	3.3963	0.0076622	0.02306	24	1.5817	0.35526	0.66713	33	3.1147	0.0037188	0.012571
"126"	"Non-homologous end-joining"	11	0.034024	0.39962	1	-0.034024	0.60083	0.80368	1.7833	0.097635	0.14692	6	0.77862	0.40925	0.71624	5	1.7921	0.077638	0.13123
"127"	"Non-alcoholic fatty liver disease (NAFLD)"	139	-3.6906	0.98454	1	3.6906	0.016538	0.080883	2.3382	0.016173	0.039549	59	-0.48865	0.96408	0.99349	80	3.5017	0.00050744	0.0030349
"128"	"Nitrogen metabolism"	16	-2.2114	0.92501	1	2.2114	0.078477	0.24811	-1.0595	0.67143	0.72719	5	-2.2335	0.98358	0.99965	11	0.22807	0.26633	0.33534
"129"	"Nicotine addiction"	35	0.26272	0.28508	1	-0.26272	0.71505	0.89519	-5.0756	0.99595	1	15	-1.4335	0.95977	0.99349	20	-5.473	0.99396	1
"130"	"Nicotinate and nicotinamide metabolism"	32	-1.9964	0.88351	1	1.9964	0.12045	0.34274	0.18554	0.33662	0.41177	13	-0.82536	0.90089	0.97843	19	0.9235	0.11854	0.17896
"131"	"Neurotrophin signaling pathway"	118	-0.78621	0.50556	1	0.78621	0.49814	0.75147	3.9487	0.0014088	0.0063727	53	3.4651	0.086008	0.36234	65	2.1914	0.0058769	0.018277
"132"	"Neuroactive ligand-receptor interaction"	238	-1.0328	0.43737	1	1.0328	0.56701	0.79943	-8.0829	0.99994	1	89	0.46608	0.91335	0.98252	149	-10.576	1	1
"133"	"Neomycin, kanamycin and gentamicin biosynthesis"	4	-2.5185	0.9726	1	2.5185	0.027399	0.12251	1.2328	0.1825	0.25165	0	NA	NA	NA	4	1.2328	0.16948	0.23426
"134"	"Natural killer cell mediated cytotoxicity"	99	-5.1799	0.99971	1	5.1799	0.00031535	0.0054835	2.356	0.026517	0.05724	32	-0.080739	0.8664	0.9589	67	2.9197	0.0024351	0.0095789
"135"	"NOD-like receptor signaling pathway"	150	-6.182	0.99998	1	6.182	1.8374e-05	0.00051179	4.8805	0.00016836	0.0012255	50	1.2533	0.62152	0.8404	100	5.0911	3.5331e-06	7.3254e-05
"136"	"NF-kappa B signaling pathway"	93	-2.7038	0.93404	1	2.7038	0.068619	0.22142	2.7212	0.013112	0.033366	35	1.7855	0.36649	0.67844	58	2.0587	0.010458	0.029569
